epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.46644,0,111.077,0,0,0,0,0,0,48.2188,0,0,0,0
2,2.0208,0,111.145,0,0,0,0,0,0,48.2188,0,1.58448e-05,1.58448e-05,1.58448e-05
3,2.77766,0,111.042,0,0,0,0,0,0,48.2188,0,3.00393e-05,3.00393e-05,3.00393e-05
4,3.35106,0,111.062,0,0,0,0,0,0,48.1875,0,4.25835e-05,4.25835e-05,4.25835e-05
5,3.87857,0,111.109,0,0,0,0,0,0,48.1875,0,5.34774e-05,5.34774e-05,5.34774e-05
6,4.37755,0,110.959,0,0,0,0,0,0,48.1875,0,6.27209e-05,6.27209e-05,6.27209e-05
7,4.95127,0,111.055,0,0,0,0,0,0,48.1875,0,7.03141e-05,7.03141e-05,7.03141e-05
8,5.39195,0,111.078,0,0,0,0,0,0,48.1562,0,7.62569e-05,7.62569e-05,7.62569e-05
9,5.94717,0,111.12,0,0,0,0,0,0,48.1562,0,8.05494e-05,8.05494e-05,8.05494e-05
10,6.60749,0,111.136,0,0,0,0,0,0,48.1562,0,8.31916e-05,8.31916e-05,8.31916e-05
11,8.17714,0,109.834,0,0,0,0,0,0,48.1562,0,8.41835e-05,8.41835e-05,8.41835e-05
12,9.43303,0,109.078,0,0,0,0,0,0,48.1562,0,8.3525e-05,8.3525e-05,8.3525e-05
13,10.9517,0,108.275,0,0,0,0,0,0,48.1562,0,8.12162e-05,8.12162e-05,8.12162e-05
14,12.2694,0,107.671,0,0,0,0,0,0,48.1562,0,7.72571e-05,7.72571e-05,7.72571e-05
15,13.1423,0,107.179,0,0,0,0,0,0,48.125,0,7.16477e-05,7.16477e-05,7.16477e-05
16,13.9581,0,106.833,0,0,0,0,0,0,48.125,0,6.43879e-05,6.43879e-05,6.43879e-05
17,14.8482,0,106.16,0,0,0,0,0,0,48.0938,0,5.54778e-05,5.54778e-05,5.54778e-05
18,15.6167,0,105.705,0,0,0,0,0,0,48.0938,0,4.49173e-05,4.49173e-05,4.49173e-05
19,16.8392,0,105.748,0,0,0,0,0,0,48.0312,0,3.27065e-05,3.27065e-05,3.27065e-05
20,17.4103,0,105.523,0,0,0,0,0,0,48.0312,0,1.88454e-05,1.88454e-05,1.88454e-05
